الرقم الخاص,الرقم العام,توصيف المجال العلمى,كود المقرر,رؤوس الموضوعات,المقرر  الذى يدعمه الوعاء,عنوان الوعاء,اسم المؤلف,مؤلفين مشاركين,الناشر,مكان النشر,تاريخ النشر,رقم الطبعة,الترقيم الدولى ,اللغة,القسم,نوع
721.044/ع.ت.م,1,إنشاء معمارى,ARCH 205,(1) Building Construction I,مواد البناء/البناء/,مواد البناء وطرق الإنشاء في المباني,توفيق احمد عبد الجواد ,محمد توفيق عبد الجواد,مكتبة الأنجلو المصرية,القاهرة,1984,ط.3,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721.0448/إ.م.م,2,إنشاء معمارى,ARCH 422,(3) Working Drawings III,مقايسات ومواصفات,المقايسات لصناعه نجارة العمارة للصف الثالث بالمدارس الثانويه الفنيه الصناعيه,سيد جابر عبد العال,لا يوجد,وزارة التربية والتعليم,القاهرة,2002,ط.2,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/M.J.M,3,إنشاء معمارى,ARCH 205,(1) Building Construction I,معايير المواد/هياكل المواد/خصائص المواد/اختبارات المواد/هندسة المواد/علوم المواد/جودة المواد/متانة المواد/أداء المواد,Materials Structures Standards,Josep Montaner ,Jordi Oliveras,Editorial Gustavo Gili,United States of America,1986,ط.1986,0-312-004516,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/M.M.B,4,إنشاء معمارى,ARCH 205,(1) Building Construction I,تشييد المباني (الهندسة المعمارية)/عناصر البناء (البيئة المبنية)/بناء/تشييد المباني (الهندسة المعمارية)/عناصر المباني (البيئة المبنية)/البناء في هوخباو (الهندسة المعمارية)/إنشاءات البناء والتشييد (النحت),Baukonstruktionslehre. ein Nachschlagewerk für den Bauschaffenden über Konstruktionssysteme.Bauteile und Bauarten,Martin Mittag,لا يوجد,C. Bertelsmann/ Gütersloh,German,1952,ط.1,9.78E+12,لغة ألمانية,الهندسة المعمارية والتصميم,ورقي
721/R.R.S,5,إنشاء معمارى,ARCH 205,(1) Building Construction I,مواد البناء/البناء/,Structure Systems,Henrich Engel,preface by Ralph. article by Hannskarl Bandel,London Iliffe Books LTD,London,1968,ط.1,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/S.K.D,6,إنشاء معمارى,ARCH 205,(1) Building Construction I,الرطوبة في المباني/الرطوبة,Damp diffusion and buildings. Prevention of damp diffusion damage in buildings design,Karl Seiffert,لا يوجد,Elsevier Pub. Co.,Amsterdam,1970 ,ط.1,9780444200730/0444200738,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/W.D.C,7,إنشاء معمارى,ARCH 205,(1) Building Construction I,مواد البناء/الإنشاءات (النحت)/البناء,Construction Materials and Processes,Don A. Watson,لا يوجد,McGraw-Hill,New York,1978,ط.2,9780070684713/ 0070684715,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/ح.ر.ع,8,إنشاء معمارى,ARCH 317,(2) Building Construction II,المباني/هندسة الإنشاءات/الهندسة المعمارية,عناصر التصميم والإنشاء المعمارى,ربيع محمد نذير حرستاني,لا يوجد,دار الكتب العلمية للنشر والتوزيع,القاهرة,2004,ط.2004,9789772873135//9772873133,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ح.ر.ع,9,إنشاء معمارى,ARCH 317,(2) Building Construction II,المباني/هندسة الإنشاءات/الهندسة المعمارية,عناصر التصميم والإنشاء المعمارى,ربيع محمد نذير حرستاني,لا يوجد,دار الكتب العلمية للنشر والتوزيع,القاهرة,2004,ط.2004,9789772873135//9772873133,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/أ.ك.إ,10,إنشاء معمارى,ARCH 205,(1) Building Construction I,إنشاء مبانى,إنشاء مبانى /الجزء الأول,كمال الدين صلاح الدين أحمد,لا يوجد,معهد العبور العالى للهندسة والتكنولوجيا,القليوبية,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ق.س.ع,11,إنشاء معمارى,BASE 307,Contracts. Bids & Liabilities,عقود ومواصفات/المباني عقود و مواصفات/هندسة الإنشاءات,عقود ومواصفات الاعمال الانشائية,السيد عبدالفتاح القصبى,لا يوجد,دار الكتب العلمية,القاهرة,1995,ط.2,9.79E+12,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ت.م.ك,12,إنشاء معمارى,ARCH 317,(2) Building Construction II,مواد البناء/الإنشاءات المعمارية/البناء,كتيب لوحات مادة الانشاء المعمارى ومواد البناء,مجدى تمام,لا يوجد,مودرن اكاديمى,القاهرة,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ت.م.م,13,إنشاء معمارى,ARCH 213,History of Architecture I,المباني/هندسة الإنشاءات/الهندسة المعمارية,محاضرات مادة الانشاء المعمارى ومواد البناء,مجدى تمام,لا يوجد,مودرن اكاديمى,القاهرة,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
700.108/L.M.A,14,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,الفن والطبيعة/صناعة الورق/ورق النباتات/ورق النباتات - صناعة الورق,The Art of PaperMaking with Plants,Marie - Jeanne Lorente,photographs by Vincent Decorde,Thames &Hudson,Italy,2004,ط.1,978-050-028-474-2/050-028-474-1,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,15,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/التراث الحضارى/الحضارة/الفن - تاريخ/العمارة - تاريخ,The Story of Ancient World 500 B.C. - 500 A.D.,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,16,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/التراث الحضارى/الحضارة/الفن - تاريخ/العمارة - تاريخ,The Story of Ancient World Prehistory - 500 B.C.,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,17,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/الثقافة/الحضارة/التاريخ الحضرى/النحت - تاريخ/العمارة/العمارة - فن/العمارة أبنية,The Story of Architecture. [Gothic-modern],Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,18,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/الثقافة/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ,The Story of Architecture;3000 B. C.- Gothic Period,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.F,19,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,التاريخ العام/الثقافة/النحت/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ/منحوتات,The Story of Fine Art 15000 B.c. - 1800 A.D.,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.F,20,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,التاريخ العام/الثقافة/النحت/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ/منحوتات,The Story of Fine Art The Last Two Hundred Years,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.M,21,أصول وفنون العمارة (عمارة وفنون),ARCH 302,Architectural Design II,التاريخ العام/التراث الحضارى/الطب - تاريخ/التاريخ الطبي/الطب على مدار العصور/الفن - تاريخ/العمارة - تاريخ,The Story of Medieval World,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1966,ط.1966,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.M,22,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/العالم الحديث - تاريخ/العالم الحديث- حضارة/التراث الحضارى/الطب على مدار العصور/الفن - تاريخ/العمارة - تاريخ,The Story of Modern World,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1966,ط.1966,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.S,23,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,التاريخ العام/الثقافة/النحت/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ/النحت/منحوتات,The Story of Sculpture,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
704.03/B.S.R,24,أصول وفنون العمارة (عمارة وفنون),ARCH 210,Fundamentals of Design & Color & Painting,الفن الافريقى/الفنون الملكية الإفريقية/النحت/إفريقيا - تاريخ/فن إفريقى - تاريخ/الهندسة المعمارية الإفريقيا/إفريقيا - هندسة معمارية - طرق استخدام/الحكام الأفارقة/الملوك الأفارقة/الفنون - سلالات عرقية/هندسة القصور الملكية/تاريخ الأسرة الحاكمة/الرسوم التوضيحية/النقوش/حكام - افريقيا - صور/حكام - افريقيا - رموز,Royal Arts of Africa : Majesty of Form,Suzanne Preston Blir,لا يوجد,Laurence King Publishing,London,1998,ط.1998,9.78E+12,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
